instance,algorithm,iteration,best_cost
tai20a,TS-Original,800,709504
tai20a,TS-Original,900,709504
tai20a,TS-Original,1000,709504
tai20a,TS-Original,1100,709504
tai20a,TS-Original,1200,709504
tai20a,TS-Original,1300,709504
tai20a,TS-Original,1400,709504
tai20a,TS-Original,1500,709504
tai20a,TS-Original,1600,709504
tai20a,TS-Original,1700,709504
tai20a,TS-Original,1800,709504
tai20a,TS-Original,1900,709504
tai20a,TS-Original,2000,709504
tai20a,TS-Original,2100,709504
tai20a,TS-Original,2200,709504
tai20a,TS-Original,2300,709504
tai20a,TS-Original,2400,709504
tai20a,TS-Original,2500,709504
tai20a,TS-Original,2600,709504
tai20a,TS-Original,2700,709504
tai20a,TS-Original,2800,709504
tai20a,TS-Original,2900,709504
tai20a,TS-Original,3000,709504
tai20a,TS-Reactive,0,888276
tai20a,TS-Reactive,100,719586
tai20a,TS-Reactive,200,719586
tai20a,TS-Reactive,300,713204
tai20a,TS-Reactive,400,713204
tai20a,TS-Reactive,500,713204
tai20a,TS-Reactive,600,713204
tai20a,TS-Reactive,700,713204
tai20a,TS-Reactive,800,710518
tai20a,TS-Reactive,900,710518
tai20a,TS-Reactive,1000,710518
tai20a,TS-Reactive,1100,710518
tai20a,TS-Reactive,1200,710518
tai20a,TS-Reactive,1300,710518
tai20a,TS-Reactive,1400,710518
tai20a,TS-Reactive,1500,710518
tai20a,TS-Reactive,1600,710518
tai20a,TS-Reactive,1700,710518
tai20a,TS-Reactive,1800,710518
tai20a,TS-Reactive,1900,710518
tai20a,TS-Reactive,2000,710518
tai20a,TS-Reactive,2100,710518
tai20a,TS-Reactive,2200,710518
tai20a,TS-Reactive,2300,710518
tai20a,TS-Reactive,2400,710518
tai20a,TS-Reactive,2500,710518
tai20a,TS-Reactive,2600,710518
tai20a,TS-Reactive,2700,710518
tai20a,TS-Reactive,2800,708198
tai20a,TS-Reactive,2900,708198
tai20a,TS-Reactive,3000,708198
tai25a,TS-Original,0,1436950
tai25a,TS-Original,100,1208820
tai25a,TS-Original,200,1196998
tai25a,TS-Original,300,1190664
tai25a,TS-Original,400,1186412
tai25a,TS-Original,500,1186412
tai25a,TS-Original,600,1186412
tai25a,TS-Original,700,1186412
tai25a,TS-Original,800,1186412
tai25a,TS-Original,900,1186412
tai25a,TS-Original,1000,1186412
tai25a,TS-Original,1100,1186412
tai25a,TS-Original,1200,1186412
tai25a,TS-Original,1300,1186412
tai25a,TS-Original,1400,1186412
tai25a,TS-Original,1500,1186412
tai25a,TS-Original,1600,1186412
tai25a,TS-Original,1700,1186412
tai25a,TS-Original,1800,1186412
tai25a,TS-Original,1900,1186412
tai25a,TS-Original,2000,1186412
tai25a,TS-Original,2100,1186412
tai25a,TS-Original,2200,1186412
tai25a,TS-Original,2300,1186412
tai25a,TS-Original,2400,1186412
tai25a,TS-Original,2500,1186412
tai25a,TS-Original,2600,1186412
tai25a,TS-Original,2700,1186412
tai25a,TS-Original,2800,1186412
tai25a,TS-Original,2900,1186412
tai25a,TS-Original,3000,1186412
tai25a,TS-Original,3100,1186412
tai25a,TS-Original,3200,1186412
tai25a,TS-Original,3300,1186412
tai25a,TS-Original,3400,1186412
tai25a,TS-Original,3500,1186412
tai25a,TS-Original,3600,1186412
tai25a,TS-Original,3700,1186412
tai25a,TS-Reactive,0,1436950
tai25a,TS-Reactive,100,1200492
