instance,algorithm,iteration,best_cost
nug25,TS-Reactive,3000,3744
nug25,TS-Reactive,3100,3744
nug25,TS-Reactive,3200,3744
nug25,TS-Reactive,3300,3744
nug25,TS-Reactive,3400,3744
nug25,TS-Reactive,3500,3744
nug25,TS-Reactive,3600,3744
nug25,TS-Reactive,3700,3744
nug30,TS-Original,0,8328
nug30,TS-Original,100,6380
nug30,TS-Original,200,6294
nug30,TS-Original,300,6152
nug30,TS-Original,400,6152
nug30,TS-Original,500,6152
nug30,TS-Original,600,6152
nug30,TS-Original,700,6152
nug30,TS-Original,800,6152
nug30,TS-Original,900,6152
nug30,TS-Original,1000,6152
nug30,TS-Original,1100,6152
nug30,TS-Original,1200,6152
nug30,TS-Original,1300,6152
nug30,TS-Original,1400,6152
nug30,TS-Original,1500,6152
nug30,TS-Original,1600,6152
nug30,TS-Original,1700,6152
nug30,TS-Original,1800,6152
nug30,TS-Original,1900,6152
nug30,TS-Original,2000,6152
nug30,TS-Original,2100,6152
nug30,TS-Original,2200,6152
nug30,TS-Original,2300,6152
nug30,TS-Original,2400,6152
nug30,TS-Original,2500,6152
nug30,TS-Original,2600,6152
nug30,TS-Original,2700,6152
nug30,TS-Original,2800,6152
nug30,TS-Original,2900,6152
nug30,TS-Original,3000,6152
nug30,TS-Original,3100,6152
nug30,TS-Original,3200,6152
nug30,TS-Original,3300,6152
nug30,TS-Original,3400,6152
nug30,TS-Original,3500,6152
nug30,TS-Original,3600,6152
nug30,TS-Original,3700,6152
nug30,TS-Original,3800,6152
nug30,TS-Original,3900,6152
nug30,TS-Original,4000,6152
nug30,TS-Original,4100,6152
nug30,TS-Original,4200,6152
nug30,TS-Original,4300,6152
nug30,TS-Original,4400,6152
nug30,TS-Original,4500,6152
nug30,TS-Reactive,0,8328
nug30,TS-Reactive,100,6310
nug30,TS-Reactive,200,6230
nug30,TS-Reactive,300,6184
nug30,TS-Reactive,400,6184
nug30,TS-Reactive,500,6184
nug30,TS-Reactive,600,6184
nug30,TS-Reactive,700,6180
nug30,TS-Reactive,800,6180
nug30,TS-Reactive,900,6166
nug30,TS-Reactive,1000,6166
nug30,TS-Reactive,1100,6166
nug30,TS-Reactive,1200,6162
nug30,TS-Reactive,1300,6162
nug30,TS-Reactive,1400,6162
nug30,TS-Reactive,1500,6162
nug30,TS-Reactive,1600,6162
nug30,TS-Reactive,1700,6162
nug30,TS-Reactive,1800,6162
nug30,TS-Reactive,1900,6162
nug30,TS-Reactive,2000,6162
nug30,TS-Reactive,2100,6162
nug30,TS-Reactive,2200,6162
nug30,TS-Reactive,2300,6162
nug30,TS-Reactive,2400,6162
nug30,TS-Reactive,2500,6162
nug30,TS-Reactive,2600,6162
nug30,TS-Reactive,2700,6162
nug30,TS-Reactive,2800,6162
nug30,TS-Reactive,2900,6162
nug30,TS-Reactive,3000,6162
nug30,TS-Reactive,3100,6162
nug30,TS-Reactive,3200,6162
nug30,TS-Reactive,3300,6162
nug30,TS-Reactive,3400,6162
nug30,TS-Reactive,3500,6162
nug30,TS-Reactive,3600,6162
nug30,TS-Reactive,3700,6162
nug30,TS-Reactive,3800,6162
nug30,TS-Reactive,3900,6162
nug30,TS-Reactive,4000,6162
nug30,TS-Reactive,4100,6162
nug30,TS-Reactive,4200,6162
nug30,TS-Reactive,4300,6162
nug30,TS-Reactive,4400,6162
nug30,TS-Reactive,4500,6162
tai30a,TS-Original,0,2181548
tai30a,TS-Original,100,1852254
tai30a,TS-Original,200,1851492
tai30a,TS-Original,300,1851492
tai30a,TS-Original,400,1851492
tai30a,TS-Original,500,1851492
tai30a,TS-Original,600,1851492
tai30a,TS-Original,700,1851492
tai30a,TS-Original,800,1851492
tai30a,TS-Original,900,1851492
tai30a,TS-Original,1000,1851492
tai30a,TS-Original,1100,1851492
tai30a,TS-Original,1200,1851492
tai30a,TS-Original,1300,1851492
tai30a,TS-Original,1400,1851492
tai30a,TS-Original,1500,1851492
tai30a,TS-Original,1600,1851492
tai30a,TS-Original,1700,1851492
tai30a,TS-Original,1800,1851492
tai30a,TS-Original,1900,1851492
tai30a,TS-Original,2000,1851492
tai30a,TS-Original,2100,1851492
tai30a,TS-Original,2200,1851492
tai30a,TS-Original,2300,1851492
tai30a,TS-Original,2400,1851492
tai30a,TS-Original,2500,1851492
tai30a,TS-Original,2600,1851492
tai30a,TS-Original,2700,1851492
tai30a,TS-Original,2800,1851492
tai30a,TS-Original,2900,1851492
tai30a,TS-Original,3000,1851492
tai30a,TS-Original,3100,1851492
tai30a,TS-Original,3200,1851492
tai30a,TS-Original,3300,1851492
tai30a,TS-Original,3400,1851492
tai30a,TS-Original,3500,1851492
tai30a,TS-Original,3600,1851492
tai30a,TS-Original,3700,1851492
tai30a,TS-Original,3800,1851492
tai30a,TS-Original,3900,1851492
tai30a,TS-Original,4000,1851492
tai30a,TS-Original,4100,1851492
tai30a,TS-Original,4200,1851492
tai30a,TS-Original,4300,1851492
tai30a,TS-Original,4400,1851492
tai30a,TS-Original,4500,1851492
tai30a,TS-Reactive,0,2181548
tai30a,TS-Reactive,100,1850902
tai30a,TS-Reactive,200,1850902
tai30a,TS-Reactive,300,1850902
tai30a,TS-Reactive,400,1850902
tai30a,TS-Reactive,500,1850902
tai30a,TS-Reactive,600,1842740
tai30a,TS-Reactive,700,1833408
tai30a,TS-Reactive,800,1833408
tai30a,TS-Reactive,900,1833408
tai30a,TS-Reactive,1000,1831522
tai30a,TS-Reactive,1100,1831522
tai30a,TS-Reactive,1200,1831522
tai30a,TS-Reactive,1300,1831522
tai30a,TS-Reactive,1400,1831522
